trial,layer,M,N,K,time_us,tflops,effective_gbps,ai_flop_per_byte,compute_roof_tflops,memory_roof_tflops,roof_tflops,model_limit,tc_peak_pct,memory_roof_pct
1,f_b_proj,1,1536,128,4.1,0.1,95.9,0.991607,2250,7.932860,7.932860,memory,0.0,1.2
1,f_b_proj,8,1536,128,6.2,0.5,68.3,7.492683,2250,59.941463,59.941463,memory,0.0,0.9
1,f_b_proj,16,1536,128,4.2,1.5,106.0,14.091743,2250,112.733945,112.733945,memory,0.1,1.3
1,f_b_proj,64,1536,128,4.2,5.9,143.2,41.513514,2250,332.108108,332.108108,memory,0.3,1.8
1,f_b_proj,256,1536,128,4.2,24.1,297.7,80.842105,2250,646.736842,646.736842,memory,1.1,3.7
1,f_b_proj,1024,1536,128,4.7,86.3,815.0,105.931034,2250,847.448276,847.448276,memory,3.8,10.2
1,f_b_proj,4096,1536,128,8.1,199.5,1737.0,114.841121,2250,918.728972,918.728972,memory,8.9,21.7
1,f_b_proj,16384,1536,128,19.2,335.3,2858.7,117.307876,2250,938.463007,938.463007,memory,14.9,35.7
1,f_b_proj,65536,1536,128,62.1,414.9,3517.7,117.941212,2250,943.529694,943.529694,memory,18.4,44.0
1,q_b_proj,1,2304,1536,12.4,0.6,569.2,0.998916,2250,7.991329,7.991329,memory,0.0,7.1
1,q_b_proj,8,2304,1536,8.1,7.0,880.7,7.931153,2250,63.449225,63.449225,memory,0.3,11.0
1,q_b_proj,16,2304,1536,5.6,20.1,1277.4,15.726962,2250,125.815700,125.815700,memory,0.9,16.0
1,q_b_proj,64,2304,1536,5.7,79.8,1333.1,59.844156,2250,478.753247,478.753247,memory,3.5,16.7
1,q_b_proj,256,2304,1536,6.1,296.7,1480.9,200.347826,2250,1602.782609,1602.782609,memory,13.2,18.5
1,q_b_proj,1024,2304,1536,10.1,720.6,1485.7,485.052632,2250,3880.421053,2250.000000,compute,32.0,18.6
1,q_b_proj,4096,2304,1536,28.2,1027.8,1366.1,752.326531,2250,6018.612245,2250.000000,compute,45.7,17.1
1,q_b_proj,16384,2304,1536,97.0,1195.1,1369.7,872.520710,2250,6980.165680,2250.000000,compute,53.1,17.1
1,q_b_proj,65536,2304,1536,366.6,1265.1,1392.0,908.819723,2250,7270.557781,2250.000000,compute,56.2,17.4
1,o_proj,1,7168,1536,6.3,3.5,3485.6,0.999210,2250,7.993681,7.993681,memory,0.2,43.6
1,o_proj,8,7168,1536,5.8,30.6,3847.6,7.949723,2250,63.597782,63.597782,memory,1.4,48.1
1,o_proj,16,7168,1536,5.8,60.4,3824.9,15.800147,2250,126.401176,126.401176,memory,2.7,47.8
1,o_proj,64,7168,1536,7.3,192.3,3156.9,60.917847,2250,487.342776,487.342776,memory,8.5,39.5
1,o_proj,256,7168,1536,10.0,566.4,2660.0,212.910891,2250,1703.287129,1703.287129,memory,25.2,33.3
1,o_proj,1024,7168,1536,27.9,808.9,1429.4,565.894737,2250,4527.157895,2250.000000,compute,35.9,17.9
1,o_proj,4096,7168,1536,75.5,1195.4,1236.9,966.471910,2250,7731.775281,2250.000000,compute,53.1,15.5
1,o_proj,16384,7168,1536,287.5,1254.9,1068.7,1174.279863,2250,9394.238908,2250.000000,compute,55.8,13.4
1,o_proj,65536,7168,1536,1100.6,1311.2,1056.6,1240.988278,2250,9927.906222,2250.000000,compute,58.3,13.2
1,fused_qkv_a_proj,1,2112,7168,10.2,3.0,2964.3,0.999387,2250,7.995099,7.995099,memory,0.1,37.1
1,fused_qkv_a_proj,8,2112,7168,10.2,23.6,2969.4,7.960960,2250,63.687679,63.687679,memory,1.1,37.1
1,fused_qkv_a_proj,16,2112,7168,10.5,46.2,2912.7,15.844598,2250,126.756782,126.756782,memory,2.1,36.4
